 ,Area,Mean,Min,Max
1,9,140.444,133,144
2,5,131.400,130,132
3,7,124.429,120,128
4,4,125.750,121,130
5,10,122.800,114,128
6,14,119.000,115,123
7,26,129.115,115,141
8,5,128.600,121,134
9,9,129.111,123,136
10,29,136.724,126,149
11,4,123.750,122,125
12,25,127.160,123,131
13,7,115.714,113,119
14,7,120.714,118,123
15,5,130.400,128,132
16,4,119.000,116,121
17,6,117.833,114,121
18,20,140.250,126,147
19,7,120.429,120,123
20,6,124.500,122,127
21,12,131.417,127,138
22,38,127.500,118,138
23,36,125.639,116,134
24,32,136.156,124,152
25,34,134.882,125,144
26,12,119.250,115,124
27,8,125.750,123,127
28,28,139.429,128,150
29,10,124.500,121,129
30,8,120.625,120,122
31,20,141.600,127,155
32,14,121.714,117,126
33,33,123.485,119,127
34,20,123.000,119,127
35,25,133.000,126,139
36,15,121.600,116,126
37,7,126.714,125,130
38,29,130.000,123,138
39,30,132.000,123,142
40,32,127.594,119,137
41,27,130.333,121,139
42,5,119.800,117,123
43,18,140.611,133,148
44,13,117.462,116,119
45,4,119.000,118,120
46,21,122.143,117,128
47,6,124.667,123,127
48,6,126.333,125,128
49,24,139.500,130,154
50,36,118.389,113,122
51,11,124.273,122,128
52,12,118.417,117,120
53,8,124.125,123,127
54,14,127.786,122,133
55,15,125.667,122,129
56,32,121.062,114,126
57,11,116.909,115,119
58,27,139.074,126,155
59,15,118.133,116,121
60,19,124.211,120,129
61,29,136.586,125,150
62,27,130.259,122,140
63,5,128.200,126,130
64,32,131.156,120,141
65,16,126.625,121,135
66,28,122.964,115,129
67,21,129.048,122,133
68,4,120.250,119,121
69,39,133.359,119,152
70,11,131.455,127,136
71,14,121.786,118,125
72,15,130.000,121,137
73,7,125.714,122,128
74,5,119.800,118,121
75,29,118.828,114,125
76,26,122.038,118,126
77,27,126.630,119,132
78,19,122.632,118,127
79,29,128.069,122,136
80,21,126.048,117,134
81,20,124.600,119,129
82,16,125.625,120,131
83,5,128.200,126,132
84,28,131.571,124,140
85,8,129.125,126,133
86,27,139.370,127,151
87,10,124.100,121,127
88,30,121.867,116,128
89,6,118.500,118,120
90,23,131.652,125,141
91,38,131.105,117,145
92,16,122.312,120,126
93,6,124.000,121,127
94,23,124.913,119,130
95,16,127.562,123,134
96,12,117.250,114,119
97,14,126.143,121,129
98,5,130.000,127,132
99,9,119.333,118,122
100,20,122.300,115,130
101,37,131.865,120,142
102,16,120.812,118,124
103,13,121.154,118,125
104,37,129.270,115,144
105,10,125.800,122,130
106,35,131.200,120,142
107,31,127.484,117,136
108,12,124.417,121,128
109,8,119.125,115,124
110,13,119.462,115,122
111,10,120.700,117,124
112,17,124.118,119,127
113,36,124.639,117,132
114,37,131.595,121,140
115,14,121.429,118,125
116,14,118.286,115,121
117,6,121.167,118,123
118,24,132.667,122,144
119,18,123.722,121,130
120,38,126.579,117,132
121,26,124.654,117,130
122,33,132.606,119,143
123,10,118.000,116,119
124,19,130.737,124,137
125,31,141.710,121,158
126,20,120.650,115,125
127,6,116.833,114,119
128,40,136.050,123,153
129,25,128.480,119,139
130,7,130.286,127,133
131,37,132.649,116,141
132,36,138.306,126,150
133,5,118.200,117,122
134,5,133.200,131,136
135,6,122.000,121,123
136,40,123.675,115,131
137,17,121.294,117,124
138,20,125.500,120,131
139,4,124.500,122,126
140,31,125.677,116,134
141,12,120.083,117,123
142,7,123.429,122,128
143,22,139.727,132,144
144,4,118.500,115,120
145,21,127.000,122,130
146,20,128.800,120,138
147,11,123.727,120,127
148,13,125.923,123,131
149,39,135.051,123,145
150,40,137.150,124,150
151,5,146.400,140,151
152,4,123.250,122,124
153,34,162.000,135,172
154,26,137.462,122,154
155,21,125.095,119,133
156,12,127.083,123,132
157,4,122.250,120,124
158,22,125.545,121,132
159,23,125.870,121,133
160,21,123.000,117,128
161,16,126.250,121,133
162,30,122.367,119,127
163,9,129.889,128,132
164,5,131.400,122,135
165,28,142.286,121,156
166,19,123.000,120,125
167,4,122.250,121,124
168,30,127.467,119,135
169,6,124.500,123,126
170,29,127.034,121,131
171,28,129.393,121,137
172,35,148.800,136,162
173,26,134.308,127,144
174,23,133.087,123,144
175,35,129.886,118,143
176,26,124.500,115,132
177,33,126.667,120,136
178,13,124.154,117,130
179,5,115.600,114,117
180,19,126.632,121,135
181,13,126.538,122,132
182,9,129.556,125,133
183,20,124.700,119,128
184,14,129.929,122,140
185,33,138.576,125,161
186,26,131.423,123,139
187,16,126.062,119,132
188,26,128.115,119,137
189,25,123.080,120,128
190,19,127.158,121,134
191,9,135.667,119,146
192,18,124.167,120,130
193,7,120.571,118,123
194,28,126.714,115,133
195,31,128.000,116,137
196,7,128.429,125,132
197,26,129.500,122,137
198,6,122.667,117,129
199,22,122.182,117,131
200,8,132.000,130,134
201,25,125.160,117,136
202,5,125.400,123,128
203,8,127.125,126,130
204,8,125.625,124,129
205,13,126.308,122,132
206,24,123.375,116,129
207,40,131.000,120,143
208,25,126.960,119,135
209,15,122.200,119,126
210,30,132.767,119,150
211,18,124.222,117,131
212,25,126.640,119,135
213,17,128.882,121,135
214,35,128.943,117,139
215,8,129.375,125,133
216,7,122.857,120,126
217,14,127.286,122,133
218,9,121.444,120,125
219,33,130.000,124,135
220,40,131.750,114,148
221,31,126.903,115,134
222,39,128.103,116,138
223,12,121.917,117,128
224,27,131.037,126,136
225,37,132.622,116,147
226,6,125.333,124,127
227,37,132.676,124,141
228,7,120.000,119,121
229,25,119.280,115,124
230,7,126.143,125,129
231,29,133.483,120,145
232,35,133.886,122,146
233,21,119.095,114,126
234,8,117.250,115,120
235,10,125.400,119,135
236,18,120.500,115,123
237,12,126.000,120,134
238,37,140.973,123,152
239,39,125.923,118,133
240,39,141.231,122,166
241,10,122.500,117,127
242,15,124.067,119,129
243,34,131.765,117,147
244,8,122.500,121,126
245,8,127.125,125,131
246,17,128.529,121,137
247,15,141.133,131,147
