 ,Area,Mean,Min,Max
1,29,125.069,122,129
2,26,134.115,129,142
3,5,125.800,125,126
4,18,131.889,130,136
5,9,166.333,119,196
6,5,176.400,173,181
7,13,157.462,155,161
8,16,141.812,137,146
9,6,149.000,147,151
10,4,174.000,174,174
11,21,117.810,116,120
12,11,132.273,125,136
13,7,98.429,97,100
14,4,99.500,99,100
15,34,99.647,98,102
16,5,101.400,101,102
17,31,97.806,96,100
18,17,102.647,101,104
19,9,99.778,99,102
20,6,99.167,98,100
21,18,96.778,95,98
22,14,102.714,100,106
23,4,95.500,95,96
24,27,106.000,101,111
25,11,127.727,123,131
26,7,127.000,123,129
27,4,94.250,94,95
28,32,100.375,98,103
29,7,96.429,95,98
30,8,103.500,102,105
31,16,103.188,100,106
32,19,98.421,95,100
33,11,97.273,95,100
34,4,98.250,98,99
35,9,99.111,99,100
36,5,97.200,96,98
37,22,112.409,103,121
38,4,105.500,105,106
39,4,116.250,116,117
40,32,98.188,96,100
41,11,100.273,99,101
42,14,98.071,94,101
43,9,102.333,101,104
44,5,109.400,107,112
45,7,101.143,100,102
46,12,105.417,101,110
47,15,99.800,99,101
48,26,109.462,104,118
49,40,104.175,99,110
50,24,107.625,103,113
51,36,112.417,103,123
52,11,103.182,102,104
53,21,103.810,101,108
54,5,98.400,98,99
55,31,105.613,101,112
56,17,98.176,97,99
57,6,100.667,100,101
58,6,101.667,101,102
59,4,98.000,98,98
60,27,104.704,101,109
61,39,101.744,99,105
62,16,100.625,100,102
63,37,103.730,100,109
64,25,103.920,101,106
65,16,102.875,101,106
66,13,98.846,97,102
67,16,101.125,100,102
68,35,103.743,100,108
69,34,106.941,101,111
70,4,100.250,100,101
71,19,103.105,99,106
72,9,102.444,101,103
73,16,104.625,102,108
74,25,103.240,101,106
75,7,101.286,101,102
76,21,103.333,101,108
77,5,99.200,99,100
78,10,102.500,101,104
79,6,103.167,102,104
80,35,103.914,100,107
81,5,101.600,101,102
82,11,101.545,100,103
83,8,96.750,96,97
84,18,104.333,103,108
85,5,102.600,102,103
86,4,104.250,104,105
87,13,105.231,105,106
88,12,99.667,99,101
89,25,103.640,100,106
90,6,102.333,101,104
91,5,96.800,96,98
92,5,101.000,101,101
93,4,100.250,99,101
94,31,105.323,100,111
95,26,99.692,99,102
96,26,99.000,99,99
97,39,103.256,99,107
98,5,101.600,101,103
99,37,106.973,102,114
100,22,101.455,97,107
101,9,100.556,100,102
102,31,102.839,100,106
103,37,101.757,100,103
104,16,97.188,97,98
105,4,97.750,97,99
106,24,97.417,95,100
107,7,102.571,102,104
108,12,96.917,95,99
109,16,103.500,102,104
110,5,96.000,96,96
111,5,102.400,102,103
112,14,97.000,96,98
113,25,100.040,98,103
114,22,102.455,99,105
115,5,101.600,101,102
116,27,102.370,101,104
117,19,104.947,102,108
118,4,97.000,97,97
119,4,99.250,98,101
120,6,101.500,100,103
121,15,116.667,112,121
122,16,96.062,95,97
123,16,103.125,101,105
124,24,102.458,100,107
125,10,97.200,96,98
126,25,98.600,97,104
127,12,100.917,100,104
128,4,95.250,95,96
129,4,99.500,99,100
130,4,98.500,97,100
131,26,98.962,94,102
132,4,96.500,96,97
133,28,99.214,97,103
134,14,101.500,100,103
135,21,100.810,98,103
136,24,105.625,101,110
137,21,94.524,92,97
138,18,98.889,96,102
139,24,105.042,101,110
140,19,102.632,101,104
141,16,96.688,95,99
142,5,95.400,95,96
143,29,97.276,95,100
144,10,103.100,102,105
145,20,104.950,104,108
146,10,105.100,103,107
147,6,93.000,92,94
148,29,98.069,95,101
149,5,92.200,92,93
150,14,100.214,96,104
151,37,101.541,95,108
152,5,97.600,97,98
153,9,96.333,96,97
154,17,97.529,96,99
155,10,102.300,101,104
156,7,96.571,96,98
157,7,95.571,95,96
158,8,102.875,101,106
159,38,97.079,95,100
160,39,102.513,98,108
161,13,98.154,96,100
162,36,105.639,96,114
163,28,107.500,103,113
164,24,103.250,100,107
165,4,102.500,102,103
166,4,103.500,100,105
167,6,97.000,97,97
168,34,98.647,96,102
169,22,97.000,94,99
170,4,101.250,101,102
171,5,95.400,95,96
172,18,101.944,101,105
173,10,98.600,97,101
174,39,107.179,101,112
175,6,96.500,95,98
176,4,96.000,96,96
177,11,103.182,102,104
178,4,114.000,102,124
179,6,97.667,97,98
180,8,105.000,103,107
181,10,100.400,99,102
182,5,98.200,97,99
183,9,94.778,93,97
184,7,102.143,101,104
185,40,95.175,92,98
186,7,94.000,93,95
187,17,97.706,92,104
188,23,101.261,97,105
189,29,94.345,92,97
190,9,102.000,101,104
191,7,96.571,95,98
192,4,101.250,99,105
193,4,98.500,98,99
194,20,97.250,95,99
195,21,103.952,100,109
196,7,96.857,96,97
197,4,99.750,99,100
198,5,97.200,96,98
199,8,97.625,96,100
200,4,96.000,96,96
201,18,103.444,101,106
202,8,96.625,95,98
203,4,99.000,99,99
204,15,101.400,99,103
205,23,103.348,100,106
206,22,101.500,99,105
207,14,95.429,95,96
208,10,98.400,96,100
209,4,99.250,99,100
210,20,97.050,95,100
211,31,104.581,101,107
212,4,95.000,95,95
213,20,100.950,99,104
214,7,97.429,97,98
215,30,102.167,97,107
216,6,98.667,98,100
217,6,101.500,100,104
218,6,98.667,97,100
219,11,94.091,94,95
220,19,104.895,104,106
221,19,101.842,98,104
222,6,100.333,98,103
223,4,101.250,101,102
224,18,103.222,101,105
225,39,101.256,96,107
226,15,96.067,95,98
227,15,104.733,102,108
228,5,108.000,103,113
229,10,99.400,98,101
230,10,96.500,94,99
231,12,97.583,95,101
232,19,103.895,99,111
233,36,103.028,101,104
234,8,98.250,98,99
235,4,95.250,94,96
236,10,99.700,97,101
237,6,113.167,108,117
238,4,97.000,97,97
239,8,94.500,94,95
240,5,105.800,105,107
241,6,101.000,99,103
242,13,100.154,98,102
243,19,108.211,106,111
244,5,104.200,104,105
245,39,98.154,95,103
246,4,102.000,102,102
247,4,107.750,105,111
248,9,101.556,101,102
249,19,98.158,96,100
250,7,109.571,108,111
251,23,111.652,109,115
252,38,98.632,96,103
253,18,102.056,100,104
254,13,99.077,97,103
255,5,96.400,96,97
256,6,95.500,95,96
257,14,114.000,113,115
258,5,111.600,111,112
259,5,96.000,95,97
260,23,104.304,99,107
261,37,98.486,95,102
262,23,96.304,95,98
263,7,116.000,115,117
264,4,105.500,105,106
265,12,97.750,96,101
266,21,99.476,97,103
267,13,102.231,97,108
268,10,113.700,106,118
269,6,102.000,101,103
270,21,127.619,111,144
271,15,130.867,119,140
272,25,115.400,105,121
273,4,119.000,112,129
274,6,106.500,105,108
275,4,99.500,99,100
276,33,106.273,104,110
277,28,111.964,103,120
278,9,96.667,95,101
279,5,95.200,95,96
280,5,101.800,101,104
281,11,95.909,94,98
282,8,104.250,102,107
283,17,98.588,97,100
284,30,104.500,101,112
285,11,98.182,97,100
286,20,107.150,105,111
287,31,99.226,95,104
288,10,98.400,98,99
289,27,99.815,98,101
290,9,98.556,96,102
291,12,96.083,95,98
292,28,101.250,97,106
293,5,100.600,98,102
294,33,101.606,97,107
295,40,97.400,94,102
296,27,109.074,104,116
297,17,101.588,97,106
298,4,105.500,104,108
299,34,109.294,99,122
300,6,96.833,95,99
301,4,106.000,105,107
302,12,102.250,97,105
303,7,98.143,97,99
304,31,106.516,101,109
305,32,102.562,98,106
306,6,95.833,94,97
307,7,95.571,95,96
308,36,104.167,101,109
309,32,99.188,96,103
310,39,105.000,96,112
311,5,104.800,103,107
312,21,106.476,101,112
313,15,98.667,96,102
314,39,99.821,95,107
315,4,95.500,95,96
316,12,97.167,95,100
317,12,96.167,95,98
318,4,106.750,106,108
319,4,97.000,96,98
320,18,108.778,104,112
321,4,96.250,96,97
322,5,97.200,96,98
323,35,128.143,117,136
324,9,102.444,100,105
325,16,100.688,98,103
326,10,96.500,94,99
327,13,96.154,95,98
328,14,97.714,95,101
329,9,102.778,100,107
330,19,104.474,101,108
331,7,109.000,108,110
332,29,100.966,97,105
333,33,102.727,95,114
334,12,107.417,105,111
335,8,95.500,94,98
336,6,132.000,123,147
337,12,100.917,98,104
338,22,102.136,96,107
339,29,99.690,96,105
340,12,101.833,98,107
341,24,100.417,95,108
342,20,99.800,96,102
343,10,96.400,95,99
344,12,111.167,110,113
345,38,104.921,98,113
346,9,97.000,96,99
347,4,95.500,95,96
348,36,101.167,96,108
349,33,97.515,95,100
350,4,97.500,96,99
351,8,113.125,111,115
352,38,105.632,96,121
353,35,121.629,113,132
354,5,96.600,96,97
355,9,97.667,96,99
356,28,106.464,99,114
357,14,113.143,109,116
358,12,97.583,96,99
359,25,98.720,95,103
360,12,96.417,96,98
361,38,101.474,95,106
362,7,99.571,96,102
363,7,102.571,102,104
364,23,99.348,96,103
365,14,146.857,134,156
366,21,100.429,97,106
367,24,98.167,95,102
368,33,102.000,95,110
369,7,97.000,96,99
370,26,103.731,98,108
371,17,99.941,96,103
372,4,113.250,112,114
373,10,103.300,101,107
374,37,109.730,105,118
375,8,99.500,97,103
376,16,106.438,105,109
377,15,101.867,97,107
378,21,97.667,95,103
379,27,105.444,99,112
380,17,99.941,97,106
381,12,114.583,110,120
382,22,102.909,97,108
383,24,104.375,100,108
384,9,108.333,106,112
385,5,106.000,105,107
386,16,112.750,108,115
387,21,96.286,95,98
388,12,101.750,99,104
389,23,98.826,95,103
390,6,104.167,98,108
391,9,96.889,95,99
392,6,104.500,98,108
393,20,103.300,95,111
394,7,111.857,108,114
395,7,99.857,97,102
396,18,97.444,96,100
397,21,97.381,95,99
398,19,98.737,96,102
399,8,106.875,105,108
400,18,104.222,96,109
401,6,103.167,101,106
402,13,107.538,103,110
403,6,110.833,110,113
404,35,97.714,94,101
405,22,100.227,96,107
406,5,105.400,105,106
407,26,97.538,95,100
408,33,105.152,99,111
409,19,102.842,97,107
410,12,112.333,110,117
411,5,100.400,100,101
412,6,98.500,96,102
413,6,96.667,95,98
414,4,97.250,96,99
415,5,116.800,116,118
416,15,97.333,95,99
417,19,98.789,93,103
418,39,107.795,98,116
419,20,99.550,96,104
420,18,97.000,95,99
421,30,102.600,94,109
422,5,100.200,100,101
423,8,104.375,92,118
424,36,108.917,100,120
425,30,99.300,95,106
426,6,125.667,124,128
427,28,114.643,108,120
428,7,96.571,96,97
429,9,101.333,98,103
430,21,104.000,101,107
431,29,100.276,95,107
432,34,116.029,107,125
433,5,113.400,112,116
434,28,105.893,96,114
435,19,109.421,106,113
436,15,104.733,100,110
437,36,100.972,94,109
438,34,104.235,97,110
439,37,98.432,96,102
440,20,122.700,120,125
441,13,100.846,97,106
442,10,99.400,96,104
443,16,98.062,95,101
444,4,96.500,96,97
445,32,112.688,106,119
446,27,115.556,107,123
447,6,101.167,100,102
448,23,106.913,105,109
449,32,99.281,95,103
450,6,100.500,100,101
451,25,100.320,95,103
452,26,102.846,97,108
453,4,108.500,104,112
454,14,97.857,95,100
455,13,98.538,95,105
