 ,Area,Mean,Min,Max
1,13,95.692,95,97
2,5,96.000,94,98
3,29,92.552,88,97
4,7,95.286,95,96
5,29,94.414,94,97
6,13,95.923,92,99
7,8,93.875,93,94
8,6,96.167,94,100
9,4,96.500,96,97
10,20,93.750,91,98
11,19,95.105,91,98
12,39,95.564,90,101
13,26,95.808,93,99
14,7,97.857,96,101
15,6,98.667,97,100
16,4,95.250,93,96
17,16,96.188,92,99
18,27,96.370,95,98
19,4,95.000,93,97
20,8,92.500,92,93
21,4,92.500,91,96
22,22,94.909,92,97
23,20,97.950,95,102
24,4,95.750,95,97
25,33,98.485,94,104
26,18,96.389,93,100
27,26,97.231,93,102
28,5,93.400,91,96
29,9,94.000,93,96
30,27,95.222,92,99
31,10,95.700,92,100
32,10,100.100,97,103
33,5,97.600,96,100
34,8,94.125,93,96
35,18,96.889,94,99
36,24,95.250,87,101
37,6,94.833,92,96
38,30,93.667,90,97
39,13,94.000,90,97
40,14,94.786,92,97
41,5,92.600,89,97
42,6,97.667,96,99
43,11,95.545,91,99
44,16,96.188,94,98
45,22,95.318,92,99
46,4,95.250,94,97
47,10,94.700,93,97
48,7,94.571,93,97
49,5,95.000,93,97
50,35,93.029,89,97
51,9,97.889,94,102
52,35,95.771,91,103
53,23,96.739,92,101
54,21,95.571,92,101
55,16,94.812,91,98
56,5,97.400,95,100
57,17,95.706,93,99
58,7,93.143,93,94
59,8,96.875,94,99
60,36,97.528,94,103
61,6,100.333,97,104
62,8,94.625,91,96
63,6,96.667,92,99
64,4,98.500,96,100
65,12,95.917,92,101
66,15,97.400,95,100
67,6,92.333,91,94
68,5,96.400,94,99
69,27,93.296,89,98
70,20,97.850,94,101
71,6,95.500,93,101
72,5,95.600,94,97
73,15,98.267,94,102
74,7,96.571,92,102
75,4,95.250,94,96
76,8,97.375,94,101
77,4,95.000,93,98
78,35,98.657,96,101
79,8,97.250,95,100
80,6,96.167,95,97
81,8,96.250,93,100
82,19,95.105,91,98
83,5,96.000,94,97
84,15,98.600,95,103
85,11,95.182,90,99
86,9,97.444,93,99
87,13,98.077,94,102
88,8,96.750,95,100
89,5,96.200,94,100
90,13,94.231,93,95
91,6,97.833,95,101
92,14,95.857,91,102
93,8,95.000,93,97
94,38,98.132,94,102
95,11,93.909,91,97
96,14,94.071,91,97
97,8,96.375,94,100
98,6,95.333,93,97
99,9,93.667,92,95
100,11,93.182,91,96
101,31,93.806,90,97
102,14,98.500,96,103
103,39,97.077,93,102
104,6,91.833,89,96
105,27,96.000,93,100
106,4,96.000,95,97
107,5,92.400,92,93
108,5,93.800,92,96
109,6,94.333,93,97
110,4,99.750,99,100
111,4,94.250,92,97
112,6,93.500,91,96
113,24,94.667,92,97
114,7,97.143,94,101
115,15,93.133,92,95
116,4,98.000,97,99
117,20,95.350,92,99
118,4,98.500,95,100
119,30,96.533,94,100
120,19,97.263,94,100
121,10,96.700,93,101
122,17,96.118,93,99
123,10,94.200,91,98
124,12,95.250,94,96
125,4,94.500,91,97
126,4,96.250,95,98
127,4,95.000,94,96
128,36,97.361,94,102
129,37,98.189,94,102
130,19,94.316,89,98
131,16,94.000,91,97
132,37,94.757,91,99
133,4,96.250,95,97
134,10,95.200,95,96
135,6,97.167,97,98
136,24,94.750,90,98
137,30,92.367,87,98
138,9,95.333,94,99
139,15,95.533,92,99
140,11,94.455,92,98
141,19,98.263,95,101
142,4,94.750,93,97
