 ,Area,Mean,Min,Max
1,10,153.000,149,155
2,24,155.250,150,160
3,21,157.238,144,167
4,11,160.364,156,165
5,21,161.905,156,167
6,11,160.182,157,162
7,26,164.577,161,167
8,13,172.692,170,174
9,20,173.950,171,177
10,4,171.750,171,172
11,26,173.269,169,177
12,8,174.875,173,176
13,24,173.583,170,176
14,4,177.000,177,177
15,32,177.969,174,183
16,23,173.609,171,175
17,21,171.286,169,174
18,11,170.000,169,171
19,26,163.423,160,166
20,7,163.571,160,165
21,4,152.500,151,154
22,16,164.688,159,170
23,7,162.571,160,166
24,12,166.583,165,169
25,36,170.000,167,172
26,9,168.111,167,169
27,25,165.520,161,170
28,30,161.900,155,169
29,12,175.333,174,177
30,36,173.194,168,178
31,22,176.636,174,179
32,6,175.833,175,177
33,4,174.250,172,175
34,10,170.800,170,171
35,4,172.250,171,173
36,6,126.833,122,132
37,4,137.000,131,144
38,12,125.833,121,128
39,6,104.500,101,108
40,4,132.000,129,135
41,29,118.517,107,128
42,8,114.000,109,118
43,16,113.812,107,120
44,27,119.222,107,128
45,6,113.167,109,118
46,33,112.242,101,119
47,6,123.000,120,126
48,20,114.050,102,121
49,22,108.091,101,113
50,33,113.939,102,120
51,25,130.160,115,140
52,40,112.050,91,125
53,35,118.857,101,127
54,37,135.432,118,148
55,11,106.273,100,112
56,8,84.750,83,88
57,17,105.118,99,109
58,27,89.222,82,93
59,11,114.727,111,118
60,40,107.875,95,116
61,7,103.143,101,105
62,7,85.714,82,89
63,27,115.667,106,122
64,4,126.750,124,129
65,39,112.667,103,123
66,26,111.846,101,121
67,27,136.074,119,145
68,32,102.719,95,110
69,10,107.100,105,109
70,16,92.000,87,98
71,28,109.821,100,116
72,36,106.139,99,115
73,21,114.095,105,120
74,8,99.875,98,102
75,39,110.179,100,120
76,19,94.842,89,104
77,34,83.941,80,87
78,40,133.975,116,145
79,4,111.000,108,115
80,9,104.556,100,107
81,13,119.385,114,125
82,4,142.000,141,143
83,9,104.333,101,108
84,29,120.552,104,128
85,16,108.375,101,114
86,13,87.077,86,88
87,27,117.148,111,123
88,8,104.500,102,106
89,21,96.619,94,100
90,7,100.429,95,105
91,8,90.125,88,92
92,27,114.296,100,125
93,29,99.586,88,114
94,6,97.500,96,99
95,19,102.789,99,107
96,22,98.636,83,111
97,11,73.182,72,75
98,24,104.000,91,112
99,12,93.833,86,100
100,34,117.265,100,128
101,30,109.867,92,121
102,24,101.625,92,113
103,10,80.100,77,82
104,4,98.500,97,100
105,39,108.872,90,124
106,21,71.714,70,78
107,11,78.182,77,80
108,27,106.630,94,113
109,11,101.636,95,107
110,5,70.800,70,72
111,11,112.636,106,116
112,9,91.000,88,95
113,4,91.750,90,93
114,17,98.824,92,103
115,40,131.175,100,146
