 ,Area,Mean,Min,Max
1,6,165.833,156,174
2,18,176.722,173,180
3,8,181.375,178,183
4,9,179.667,178,182
5,7,178.857,176,182
6,27,177.000,176,179
7,9,178.222,178,179
8,18,178.500,175,182
9,14,90.857,89,94
10,9,97.667,94,100
11,26,118.731,107,127
12,5,91.800,89,94
13,28,102.750,91,111
14,10,91.900,90,94
15,23,109.000,98,118
16,5,102.400,100,105
17,38,102.342,88,115
18,4,90.000,88,92
19,26,101.923,87,119
20,8,98.750,89,104
21,9,92.111,87,94
22,28,93.714,89,100
23,25,92.000,88,96
24,27,109.259,97,123
25,19,90.211,86,94
26,4,87.000,86,88
27,6,82.833,81,84
28,4,77.250,75,80
29,30,86.533,78,96
30,9,82.000,80,83
31,6,87.333,86,90
32,4,88.250,87,89
33,4,129.500,95,151
34,12,88.500,85,91
35,4,81.500,80,82
36,4,90.000,88,92
37,16,88.375,83,92
38,4,116.750,102,142
39,39,86.744,80,92
40,5,125.200,110,143
41,7,87.571,85,90
42,14,76.643,75,78
43,17,85.118,81,89
44,15,75.400,72,78
45,39,77.744,73,82
46,11,80.091,77,83
47,13,80.462,78,84
48,22,75.136,70,82
49,9,102.222,91,114
50,5,77.800,77,80
51,19,82.105,77,87
52,14,84.214,81,86
53,6,81.500,80,83
54,25,86.440,76,95
55,27,92.556,86,101
56,10,77.300,75,79
57,4,69.000,69,69
58,5,74.000,72,75
59,13,74.077,73,77
60,19,71.526,69,75
61,32,77.000,70,85
62,4,65.750,65,67
63,8,80.250,77,82
64,29,74.103,69,81
65,11,72.364,69,76
66,14,87.071,84,89
67,9,70.000,69,71
68,4,70.250,69,72
69,7,73.571,72,75
70,20,77.700,72,84
71,10,76.300,75,79
72,5,68.200,67,69
73,21,82.190,77,89
74,35,73.971,68,81
75,7,65.571,64,67
76,11,68.818,65,73
77,24,71.917,69,74
78,24,69.833,67,72
79,13,71.692,68,76
80,25,71.520,69,75
81,22,97.409,87,111
82,15,104.333,99,109
83,11,71.727,68,75
84,4,64.500,64,65
85,39,66.308,62,71
86,11,68.545,67,71
87,13,67.154,66,68
88,4,71.750,69,73
89,25,62.920,62,65
90,28,71.250,64,83
91,11,78.364,75,81
92,6,71.500,69,74
93,37,94.649,85,109
94,14,68.429,67,71
95,6,67.333,67,68
96,28,72.071,67,79
97,35,94.257,82,113
98,26,72.308,67,78
99,22,69.818,67,75
100,5,69.600,69,70
101,24,68.250,65,72
102,13,67.077,65,68
103,30,91.433,81,99
104,7,67.714,65,70
105,7,66.571,65,68
106,12,66.500,63,70
107,4,69.750,69,70
108,15,70.600,69,72
109,14,66.571,64,69
110,5,97.600,96,99
111,8,68.000,67,70
112,5,66.800,65,68
113,16,70.375,68,74
114,25,80.560,75,87
115,26,63.615,60,69
116,17,77.353,73,81
117,10,69.700,69,71
118,4,67.000,67,67
119,25,71.160,65,78
120,38,71.395,62,79
121,11,66.727,63,73
122,19,68.211,65,72
123,10,66.500,65,68
124,35,72.829,67,81
125,7,60.571,60,61
126,15,70.333,68,73
127,22,79.500,77,84
128,16,66.250,64,68
129,8,87.750,86,89
130,18,70.333,67,75
131,4,76.000,74,77
132,4,67.250,65,68
133,15,60.667,55,65
134,4,64.500,64,65
135,11,63.545,63,65
136,8,60.500,60,62
137,13,67.615,64,72
138,16,62.188,61,65
139,5,73.400,72,74
140,32,67.969,64,70
141,40,83.700,74,92
142,8,67.500,67,68
143,17,84.294,80,89
144,9,63.667,63,65
145,22,66.409,64,69
146,4,60.000,60,60
147,27,74.704,70,80
148,11,69.091,67,71
149,8,68.125,67,70
150,31,64.387,62,67
151,4,66.750,66,67
152,4,60.500,60,62
153,26,74.923,66,81
154,36,62.583,58,65
155,8,70.000,69,71
156,5,66.400,64,68
157,8,62.625,61,65
158,31,61.355,60,64
