 ,Area,Mean,Min,Max
1,16,143.438,137,150
2,8,153.000,146,157
3,17,152.118,149,155
4,6,152.833,151,155
5,8,154.625,141,159
6,27,154.593,137,167
7,24,154.833,149,159
8,5,153.600,151,156
9,17,161.412,154,165
10,10,156.500,153,159
11,6,165.000,164,167
12,11,163.909,158,171
13,7,180.714,175,184
14,14,108.786,100,115
15,4,105.250,100,109
16,10,138.800,127,149
17,9,150.444,140,158
18,28,113.821,99,125
19,26,131.769,111,152
20,6,120.000,117,122
21,39,94.821,81,107
22,17,86.529,80,89
23,29,110.724,99,120
24,25,135.960,116,146
25,33,118.758,107,133
26,30,132.400,116,146
27,27,100.000,83,115
28,6,97.667,94,101
29,25,108.200,93,123
30,12,112.000,108,117
31,9,111.444,108,114
32,13,88.385,85,91
33,9,111.556,108,116
34,4,122.500,119,125
35,22,138.455,127,151
36,8,95.500,92,97
37,29,124.966,109,138
38,6,88.167,86,90
39,6,90.167,88,92
40,6,122.833,119,127
41,10,117.300,112,120
42,14,108.571,103,112
43,35,118.600,111,133
44,11,88.545,87,91
45,13,116.615,110,120
46,13,86.538,85,89
47,35,128.343,112,143
48,10,88.700,86,92
49,15,91.400,86,95
50,9,104.000,100,108
51,4,104.250,102,107
52,7,86.429,85,88
53,4,100.250,97,104
54,4,105.000,103,106
55,7,106.000,98,110
56,15,108.667,104,114
57,5,103.200,100,108
58,29,118.483,111,125
59,8,111.875,107,115
60,15,118.000,108,123
61,21,126.286,116,135
62,21,93.143,90,98
63,27,94.407,92,98
64,5,110.800,109,113
65,9,91.333,91,92
66,27,114.889,104,125
67,19,119.368,110,130
68,15,96.267,91,99
69,22,91.136,86,97
70,6,88.333,87,90
71,9,119.556,115,125
72,14,87.429,84,90
73,7,115.286,114,117
74,8,113.000,112,115
75,27,114.519,107,121
76,4,106.250,105,108
77,28,109.179,102,115
78,4,92.000,92,92
79,7,88.571,88,89
80,6,87.500,85,90
81,7,96.143,95,97
82,12,105.667,103,108
83,12,105.833,101,112
84,11,90.909,87,95
85,6,116.333,115,118
86,14,117.000,111,123
87,31,125.065,105,140
88,5,115.400,112,120
89,16,109.500,103,112
90,10,100.100,95,103
91,24,91.083,83,100
92,19,108.684,95,120
93,16,92.750,86,99
94,6,104.167,100,108
