 ,Area,Mean,Min,Max
1,4,133.500,130,136
2,5,134.400,132,137
3,5,131.800,129,135
4,6,130.833,126,135
5,11,136.818,129,140
6,4,138.000,135,142
7,11,138.273,134,141
8,4,150.750,149,153
9,9,150.333,149,152
10,14,153.214,148,160
11,5,161.000,158,163
12,11,152.818,150,158
13,17,148.882,146,150
14,38,155.500,146,162
15,17,157.235,154,162
16,11,156.545,154,158
17,20,154.950,147,160
18,23,157.174,149,164
19,22,157.091,151,161
20,22,164.136,161,168
21,20,163.050,160,166
22,6,157.833,157,159
23,32,164.062,161,167
24,14,163.357,161,167
25,11,163.273,161,165
26,7,111.000,102,120
27,9,123.778,116,133
28,15,152.067,146,158
29,7,163.286,162,166
30,18,150.889,147,157
31,7,151.857,146,157
32,7,154.571,152,156
33,9,165.889,160,171
34,10,128.000,121,132
35,30,152.033,126,168
36,10,123.500,122,125
37,40,109.025,100,117
38,4,117.250,116,119
39,10,112.800,109,116
40,17,102.176,99,106
41,5,105.800,104,107
42,15,107.867,107,109
43,33,102.364,97,108
44,13,119.308,113,124
45,40,135.725,126,142
46,5,150.600,148,153
47,25,111.880,107,115
48,7,121.714,120,123
49,10,111.600,109,114
50,8,128.125,126,130
51,38,121.579,117,127
52,23,108.783,99,115
53,13,142.231,135,150
54,5,134.400,133,136
55,21,133.619,128,138
56,18,155.722,151,159
57,9,99.333,97,101
58,17,141.118,139,145
59,12,147.000,141,152
60,24,154.042,151,156
61,34,110.853,106,116
62,18,140.556,137,146
63,23,129.304,124,134
64,4,136.500,135,139
65,27,106.222,101,111
66,38,149.105,138,158
67,14,138.857,136,142
68,40,138.850,130,146
69,12,159.500,152,164
70,14,132.286,128,136
71,16,132.625,126,138
72,23,122.957,111,128
73,37,133.865,120,142
74,29,113.345,103,124
75,25,115.520,109,125
76,4,98.250,97,99
77,30,114.033,107,119
78,17,123.706,120,129
79,23,136.304,129,142
80,38,112.211,101,123
81,29,141.793,131,152
82,22,135.227,131,140
83,34,139.676,126,152
84,8,122.375,121,124
85,9,99.778,98,102
86,10,128.200,124,132
87,12,102.167,98,105
88,23,130.826,121,141
89,20,101.100,97,106
90,23,125.304,118,134
91,19,106.789,103,110
92,4,131.750,130,133
93,26,119.654,112,125
94,35,114.371,103,130
95,24,125.417,113,136
96,31,137.645,124,148
97,10,136.500,134,139
98,22,103.864,98,108
99,5,120.600,119,122
100,16,141.875,132,149
101,26,110.462,97,123
102,14,114.000,105,122
103,38,106.579,97,119
104,12,120.833,118,124
105,27,128.481,122,133
106,12,125.333,121,128
107,37,116.297,104,133
108,4,101.750,101,102
109,19,111.053,103,118
110,7,111.714,109,115
111,29,120.966,111,128
112,14,109.357,107,112
113,12,124.417,122,129
114,23,123.391,112,132
115,8,134.750,129,138
116,6,130.667,123,135
117,4,119.000,118,120
118,21,102.048,100,104
119,4,121.750,120,124
120,9,110.111,106,114
121,27,129.222,124,135
122,30,123.600,117,129
123,37,101.324,97,107
124,34,107.382,98,116
125,32,133.156,121,144
126,6,118.833,117,121
127,7,127.143,123,131
128,36,131.944,118,147
129,37,104.973,97,110
130,39,125.000,113,132
131,28,142.179,128,156
132,29,130.552,122,138
133,21,125.190,117,134
134,12,140.667,134,147
135,7,102.571,101,104
136,38,126.079,115,138
137,12,111.167,106,118
138,27,142.259,133,150
139,19,135.526,127,144
140,8,129.500,123,134
141,11,113.727,107,118
142,26,103.769,99,108
143,27,133.148,125,142
144,6,105.500,104,107
145,4,128.750,126,131
146,6,142.500,141,145
147,20,105.050,98,113
148,40,120.325,112,133
149,6,113.167,111,116
150,30,105.200,101,109
151,29,125.552,113,135
152,8,102.000,99,104
153,36,111.639,101,123
154,27,156.741,141,163
155,32,118.469,106,130
156,33,122.606,107,131
157,23,105.478,97,115
158,31,117.097,105,127
159,23,123.261,117,131
160,17,138.118,134,142
161,39,110.436,100,125
162,27,128.296,113,140
163,8,138.750,133,144
164,24,111.125,100,123
165,27,103.296,98,110
166,9,96.667,96,97
167,40,118.275,107,133
168,32,101.344,96,107
169,4,110.000,109,111
170,22,105.773,97,120
171,22,123.182,118,127
172,6,112.167,109,115
173,35,140.429,124,152
174,32,103.750,101,107
175,34,131.500,118,139
176,37,137.297,126,147
177,38,123.053,109,137
178,12,120.583,117,126
179,4,101.000,100,102
180,4,103.500,102,106
181,6,99.833,99,101
182,32,125.750,113,139
183,37,106.676,98,116
184,14,103.357,99,106
185,5,136.400,133,142
186,40,101.300,97,107
187,12,103.750,102,106
188,33,105.909,99,113
189,35,121.629,113,129
190,6,127.333,124,129
191,28,106.893,100,116
192,10,99.900,98,101
193,5,112.400,111,115
194,6,113.333,111,116
195,9,120.556,119,122
196,30,101.267,97,104
197,6,109.667,108,111
198,8,101.125,99,103
199,15,101.667,97,108
200,37,127.919,117,138
201,22,104.682,98,111
202,30,111.433,103,120
203,39,116.795,110,129
204,40,104.150,97,109
205,24,122.125,112,133
206,11,114.273,112,119
207,12,101.667,98,107
208,31,121.129,112,128
209,8,128.750,128,130
210,20,103.150,99,109
211,13,101.308,99,104
212,15,101.800,99,105
213,21,107.143,100,116
214,10,103.900,100,110
215,34,108.882,98,120
216,31,105.484,100,111
217,9,106.111,104,109
218,19,110.526,102,121
219,8,107.000,106,109
220,27,136.037,127,141
221,26,136.154,128,143
222,21,118.571,105,133
223,22,148.682,135,159
224,8,119.000,114,121
225,6,98.333,97,100
226,25,102.720,97,109
227,37,125.324,116,132
228,10,106.800,105,109
229,39,105.462,98,116
230,19,105.947,100,113
231,4,107.250,105,110
232,25,121.920,108,129
233,38,114.500,105,124
234,27,123.333,112,128
235,8,133.250,126,138
236,8,131.625,128,135
237,37,109.757,104,116
238,14,120.786,115,130
239,30,121.867,108,130
240,29,137.345,129,145
241,36,115.667,103,127
242,20,114.300,108,119
243,40,119.700,111,127
244,12,130.833,127,133
245,25,127.040,118,131
246,37,116.162,99,129
247,29,103.724,97,111
248,14,99.071,97,102
249,8,107.000,104,109
250,37,109.811,103,115
251,6,104.500,103,106
252,20,105.350,98,112
253,13,99.462,98,102
254,32,128.406,120,136
255,16,103.438,101,107
256,31,107.742,95,120
257,10,125.300,123,128
258,40,102.375,98,107
259,32,104.281,96,110
260,6,102.500,101,104
261,23,101.217,97,104
262,7,119.714,117,123
263,36,130.139,117,140
264,6,100.167,97,103
265,30,117.000,100,127
266,13,100.615,97,105
267,18,111.944,106,116
268,13,102.923,97,110
269,20,101.900,97,107
270,40,116.825,106,129
271,21,106.905,101,112
272,33,116.424,104,127
273,40,127.650,115,139
