 ,Area,Mean,Min,Max
1,4,111.250,103,122
2,37,114.324,91,126
3,37,106.730,87,123
4,21,106.714,88,119
5,5,123.000,120,127
6,34,113.794,102,124
7,36,91.139,81,99
8,25,81.040,74,89
9,4,124.000,121,127
10,37,102.081,82,122
11,5,123.200,123,124
12,10,118.300,117,122
13,27,109.889,94,127
14,4,91.750,91,92
15,7,113.429,109,117
16,20,117.850,110,126
17,10,126.300,125,128
18,5,116.200,115,117
19,15,106.133,101,112
20,18,77.333,75,82
21,38,114.974,104,127
22,21,111.905,91,127
23,18,116.389,105,124
24,12,109.750,101,123
25,6,112.667,106,118
26,8,114.000,106,123
27,15,126.133,120,133
28,25,108.760,98,122
29,14,117.929,115,120
30,8,117.125,111,123
31,23,111.783,98,121
32,24,114.833,108,120
33,11,111.909,106,117
34,16,112.688,109,118
35,5,109.000,104,115
36,8,106.250,98,115
37,17,113.824,105,123
38,4,117.250,116,118
39,10,112.400,107,117
40,8,114.250,105,121
41,4,117.250,117,118
42,5,112.200,107,117
43,4,120.250,117,122
44,5,111.800,104,119
45,10,113.700,107,120
46,5,118.000,116,120
47,8,116.250,111,123
48,26,99.654,97,105
49,25,103.760,96,112
50,7,100.714,99,103
51,27,104.370,99,115
52,10,105.300,103,108
53,7,83.571,78,88
54,7,106.143,101,110
55,4,106.500,104,109
56,32,101.594,96,106
57,6,111.833,110,114
58,6,118.833,115,121
59,26,110.231,105,118
60,29,112.793,106,119
61,30,110.000,103,118
62,36,105.917,101,113
63,8,94.375,90,98
64,5,102.800,102,104
65,36,113.972,105,122
66,16,87.062,84,90
67,10,108.300,105,112
68,5,100.800,100,101
69,30,110.000,100,120
70,21,111.714,104,119
71,6,111.333,105,116
72,15,111.400,107,116
73,24,108.708,86,121
74,29,102.483,98,106
75,11,101.091,99,102
76,12,112.250,107,117
77,30,107.300,97,118
78,7,78.286,77,80
79,14,109.071,98,120
80,21,90.524,88,94
81,7,93.429,90,97
82,6,88.333,87,90
83,12,106.917,103,111
84,19,84.211,82,87
85,25,92.600,87,98
86,6,96.667,96,98
87,9,83.222,80,85
88,35,110.514,100,121
89,8,100.125,99,102
90,5,113.400,110,116
91,8,101.500,98,105
92,5,125.400,119,128
93,40,102.150,96,106
94,34,110.265,97,122
95,27,86.741,81,91
96,23,101.522,91,108
97,16,103.875,88,118
98,8,88.250,86,90
99,6,94.333,91,100
100,10,87.100,84,90
101,8,101.375,98,108
102,27,93.704,83,107
103,25,85.960,77,95
104,14,85.000,80,88
105,38,112.763,99,123
106,6,81.833,80,84
107,23,104.087,97,112
108,7,98.714,97,102
109,6,104.333,101,107
110,13,75.615,74,77
111,15,77.533,75,80
112,40,106.475,94,119
113,7,76.000,74,78
114,28,79.429,74,85
115,39,104.128,79,127
116,7,100.429,98,103
117,9,81.333,77,86
118,31,80.000,73,89
119,27,93.556,83,101
120,22,81.682,75,88
121,24,76.458,75,78
122,39,105.564,88,121
123,30,104.233,99,113
124,31,113.323,100,125
125,27,107.852,100,118
126,28,106.964,90,127
127,9,94.667,92,96
128,8,73.750,72,76
129,38,75.658,73,80
130,30,79.500,76,85
131,11,106.636,98,118
132,5,114.600,111,117
133,37,82.703,73,91
134,10,78.000,76,79
135,18,78.833,76,83
136,7,74.714,74,75
137,21,78.190,73,84
138,29,110.138,102,115
139,32,113.094,101,123
140,33,110.667,96,122
141,12,77.250,76,79
142,24,79.833,76,86
143,28,103.893,87,119
144,13,110.308,102,118
145,11,110.545,100,117
146,16,106.875,97,115
147,28,114.429,109,120
148,37,86.838,72,107
149,15,77.800,73,86
150,15,78.733,74,84
151,6,76.833,76,78
152,5,95.000,94,96
153,17,74.235,72,76
154,28,79.500,74,92
155,7,81.429,80,83
156,12,100.417,97,105
157,4,111.750,110,114
158,31,86.710,81,92
159,40,96.025,71,126
160,14,104.929,98,116
161,10,89.700,86,94
162,22,108.727,99,118
163,26,99.577,94,104
164,27,77.296,74,80
165,18,76.667,74,80
166,32,92.844,84,108
167,11,114.273,112,116
168,17,76.765,74,81
169,27,93.741,82,103
170,21,93.095,84,101
171,4,114.750,109,117
172,12,78.250,77,80
173,18,92.222,84,100
174,34,110.471,93,123
175,9,112.778,96,129
176,19,118.737,112,123
177,20,75.350,74,78
178,20,107.500,98,113
179,11,77.182,74,80
180,31,75.903,73,79
181,16,82.375,77,89
182,8,112.500,107,118
183,6,107.667,99,116
184,27,108.296,95,119
185,9,75.556,73,77
186,35,107.886,86,127
187,5,112.400,107,119
188,33,78.727,71,85
189,38,106.789,87,123
190,7,78.714,75,82
191,22,73.182,72,75
192,5,103.400,103,104
193,7,95.143,94,96
194,4,116.750,115,119
195,11,108.182,104,114
196,21,108.286,101,116
197,37,99.432,92,104
198,33,78.273,74,82
199,4,99.500,97,102
200,22,75.955,73,81
201,7,75.571,75,76
202,10,93.000,92,95
203,31,77.903,73,82
204,32,75.312,73,78
205,23,81.217,76,89
206,34,80.765,76,88
207,7,74.571,73,76
208,4,112.500,112,113
209,5,74.000,73,76
210,7,85.000,84,87
211,4,107.500,105,111
212,29,106.931,93,120
213,8,96.375,90,100
214,27,80.074,71,89
215,33,91.485,86,95
216,32,83.000,74,91
217,25,79.920,75,86
218,9,85.778,84,87
219,27,78.370,75,83
220,8,115.375,110,118
221,27,113.407,104,120
222,22,78.136,75,82
223,28,99.357,93,104
224,20,78.200,74,83
225,7,77.143,76,78
226,16,77.812,75,82
227,8,74.125,73,75
228,6,75.167,73,78
229,26,83.423,76,89
230,5,77.400,77,78
231,37,90.027,79,96
232,36,79.833,75,87
233,9,76.667,76,78
234,4,75.250,74,76
235,26,80.308,74,85
236,14,84.000,77,90
237,11,90.455,87,93
238,4,73.000,73,73
239,15,109.133,104,113
240,4,79.500,78,83
241,14,77.071,75,80
242,4,88.750,88,90
243,6,93.167,90,96
244,26,83.346,76,94
245,20,75.850,73,80
246,8,111.000,106,118
247,6,78.833,75,83
248,30,111.400,103,118
249,6,77.500,76,79
250,26,90.462,88,93
251,7,77.286,75,81
252,16,77.500,73,83
253,19,104.947,96,119
254,4,109.500,107,114
255,8,110.875,107,117
256,40,97.400,76,124
257,20,77.250,76,80
258,30,82.533,75,90
259,4,94.250,94,95
260,14,79.286,76,83
261,6,111.833,100,123
262,27,77.704,74,84
263,13,75.462,72,77
264,23,79.565,77,81
265,23,107.870,96,117
266,7,77.143,76,78
267,10,75.900,74,77
268,11,79.273,77,83
269,4,116.000,114,118
270,10,91.500,89,94
271,4,79.500,79,80
272,17,106.941,97,115
273,23,78.609,75,81
274,19,77.947,72,84
275,37,77.865,74,82
276,23,110.087,97,116
277,22,108.318,91,123
278,6,81.333,81,82
279,13,83.846,80,88
280,35,81.771,74,96
281,20,78.150,71,86
282,20,108.150,95,119
283,30,94.700,86,104
284,10,80.300,77,84
285,14,77.143,74,81
286,14,109.571,102,117
287,7,74.429,73,75
288,6,77.500,75,81
289,4,118.750,118,120
290,15,80.133,77,82
291,7,77.714,76,81
292,5,79.600,79,81
293,4,92.500,91,95
294,36,105.056,94,122
295,38,82.184,71,98
296,24,81.500,74,91
297,7,81.000,80,82
298,18,115.389,108,119
299,4,73.750,73,74
300,36,75.500,73,79
301,36,79.611,72,88
302,11,75.545,73,79
303,5,103.800,99,109
304,16,110.750,98,120
305,39,104.872,90,121
306,15,77.467,76,80
307,8,75.000,73,77
308,39,108.974,96,122
309,5,112.600,110,117
310,5,100.000,98,102
311,7,89.429,80,109
312,36,104.389,84,121
313,22,110.682,101,122
314,4,74.750,74,76
315,30,79.167,75,86
316,5,79.600,77,83
317,33,106.636,95,120
318,21,85.333,78,94
319,18,106.556,99,113
320,8,94.000,90,97
321,25,75.120,73,77
322,18,112.389,101,120
323,18,76.111,73,82
324,24,77.458,73,83
325,8,76.750,74,80
326,15,96.467,90,103
327,30,109.767,95,120
328,4,102.250,99,105
329,9,113.111,109,117
330,19,80.211,74,89
331,6,75.667,73,78
332,21,107.333,97,120
333,9,91.000,88,93
334,8,112.625,103,124
335,27,90.815,83,97
336,33,98.455,93,106
337,7,78.857,78,79
338,15,115.267,111,119
339,12,110.083,101,117
340,9,78.111,77,80
341,21,77.762,73,84
342,37,83.514,75,96
343,7,73.429,73,74
344,31,73.677,71,76
345,6,77.333,76,78
346,7,78.000,76,80
347,4,78.500,78,79
348,4,81.000,81,81
349,18,110.000,100,118
350,29,101.172,91,118
351,21,104.714,99,111
352,4,79.000,77,81
353,22,81.000,73,93
354,11,102.364,98,106
355,39,94.795,83,108
356,19,83.105,79,88
357,33,87.333,80,91
358,4,73.000,73,73
359,24,113.000,104,121
360,6,115.667,111,119
361,10,80.100,78,81
362,9,78.778,76,81
363,17,86.706,78,96
364,6,73.333,73,74
365,22,82.091,73,92
366,7,75.000,73,77
367,27,79.963,73,89
368,33,78.121,74,84
369,16,82.312,79,84
370,30,102.733,95,108
371,36,72.750,71,76
372,16,81.625,75,86
373,23,80.217,73,88
374,4,76.500,74,78
375,15,110.533,105,118
376,27,81.963,78,86
377,26,97.577,92,102
378,6,81.667,81,82
379,19,80.526,77,86
380,14,78.500,77,80
381,26,113.000,107,122
382,32,78.344,74,83
383,6,82.000,78,84
384,19,107.158,95,121
385,5,78.000,77,79
386,20,74.100,73,76
387,17,82.235,79,84
388,24,107.750,103,114
389,10,75.000,73,77
390,23,108.261,97,116
391,40,105.825,89,118
392,5,84.200,84,85
393,4,78.750,76,80
394,19,94.158,91,97
395,33,82.848,76,91
396,4,95.750,95,96
397,40,80.675,77,85
398,15,104.400,93,116
399,18,79.889,78,82
400,20,75.850,73,79
401,6,74.833,73,78
402,17,90.882,83,100
403,6,80.333,79,82
404,4,113.500,112,115
405,28,109.857,100,119
406,33,80.545,77,83
407,11,81.000,79,84
408,12,75.417,74,77
409,22,101.318,90,109
410,33,110.939,97,122
411,14,78.786,73,86
412,8,97.250,93,100
413,38,82.974,80,87
414,19,76.579,72,80
415,19,78.579,73,83
416,6,86.333,85,88
417,26,83.769,73,95
418,16,78.438,75,84
419,33,84.303,75,91
420,9,99.444,96,102
421,37,91.541,81,101
422,10,78.100,76,81
423,38,107.526,97,118
424,11,76.909,75,80
425,16,80.438,76,83
426,22,81.636,77,85
427,14,74.786,71,77
428,24,106.792,96,116
429,22,104.227,99,109
430,5,78.000,77,79
431,5,75.600,74,77
432,18,110.611,101,117
433,12,79.500,75,86
434,13,94.231,90,97
435,4,77.000,76,78
436,4,77.750,77,79
437,5,74.800,74,75
438,11,77.091,75,80
439,18,107.444,101,111
440,38,111.421,98,120
441,31,104.968,89,117
442,21,98.048,90,104
443,25,76.720,75,78
444,12,98.750,95,102
445,5,116.600,110,120
446,32,76.438,73,80
447,8,82.500,79,88
448,15,116.867,109,122
449,9,73.444,73,74
450,15,77.533,74,81
451,34,101.765,87,115
452,6,112.667,106,119
453,13,105.231,99,114
454,8,74.875,73,78
455,31,91.032,86,96
456,38,76.763,73,82
457,39,86.462,77,101
458,28,94.500,88,105
459,9,114.444,104,119
460,21,76.714,74,81
461,9,74.111,73,75
462,8,110.875,105,118
463,12,109.667,104,118
464,19,79.737,75,87
465,12,78.833,77,81
466,15,76.933,73,82
467,4,100.500,99,103
468,5,82.000,79,86
469,17,103.765,100,108
470,31,101.323,97,105
471,9,79.222,77,81
472,30,80.667,77,86
473,15,85.933,79,91
474,4,117.750,115,122
475,29,82.759,75,93
476,29,88.414,84,91
477,12,86.000,83,89
478,38,108.289,93,117
479,12,100.333,95,104
480,11,77.727,76,80
481,29,79.552,73,86
482,6,79.667,78,81
483,38,82.895,75,91
484,32,77.688,74,81
485,10,73.200,72,74
486,13,75.846,73,80
487,5,76.000,74,78
488,31,103.710,84,122
489,37,106.081,88,122
490,30,73.067,71,75
491,7,71.857,71,73
492,40,90.775,75,103
493,37,82.514,73,95
494,39,80.026,74,87
495,14,80.143,73,87
496,29,84.310,75,94
497,4,82.500,81,85
498,32,86.156,77,97
499,22,72.318,71,74
500,26,76.692,73,81
501,21,84.190,77,90
502,6,82.667,81,84
503,22,85.636,80,91
504,37,110.514,90,126
505,13,110.000,102,116
506,13,89.923,86,93
507,12,79.583,75,83
508,20,110.850,100,121
509,18,74.222,71,77
510,24,84.542,77,97
511,10,108.900,95,121
512,21,78.190,76,82
513,9,82.333,77,87
514,13,78.462,75,83
515,21,93.286,84,102
516,4,113.000,108,116
517,20,80.300,76,84
518,40,91.200,84,97
519,34,106.059,91,117
520,21,78.905,74,83
521,9,78.111,76,82
522,17,85.941,82,89
523,5,119.800,116,123
524,8,87.625,84,90
525,37,90.459,86,96
526,4,73.750,71,76
527,28,83.107,74,90
528,7,103.429,99,107
529,21,111.429,101,120
530,10,95.400,91,100
531,13,81.077,77,86
532,33,74.364,72,76
533,19,90.579,81,100
534,6,110.333,108,116
535,27,86.370,79,96
536,33,81.515,75,90
537,26,83.615,77,88
538,39,92.308,77,108
539,20,89.150,83,94
540,33,82.818,76,92
541,30,87.200,79,97
542,33,90.939,80,99
543,8,80.125,77,83
544,12,89.833,86,93
545,11,75.000,74,76
546,18,76.333,71,81
547,36,75.833,73,80
548,8,74.750,73,77
549,15,106.800,105,109
550,23,79.870,75,84
551,10,79.500,77,82
552,6,81.833,80,84
553,16,86.188,80,93
554,31,105.323,101,113
555,4,78.250,77,79
556,26,102.885,93,112
557,27,83.259,75,92
558,14,97.429,91,104
559,22,79.909,74,87
560,39,79.564,74,85
561,5,79.600,79,80
562,4,78.500,77,80
563,33,87.848,80,93
564,19,91.316,85,96
565,21,108.286,97,119
566,11,109.182,101,116
567,12,88.417,82,94
568,24,95.333,88,101
569,9,93.333,89,99
570,35,80.429,74,89
571,5,81.600,81,83
572,10,100.700,98,105
573,4,75.500,74,77
574,5,91.200,84,97
575,19,114.000,105,121
576,38,89.421,82,96
577,23,89.652,86,95
578,4,98.500,96,100
579,8,90.000,89,91
580,4,115.750,112,120
581,5,78.600,78,79
582,6,87.833,86,89
583,28,85.679,79,90
584,26,93.885,88,98
585,38,109.368,96,117
586,4,78.250,77,79
587,23,100.957,96,105
588,4,110.000,107,112
589,9,83.556,81,85
590,24,83.750,78,92
591,39,94.128,84,103
592,31,77.710,73,85
593,4,77.500,77,79
594,13,88.462,81,94
595,24,82.083,77,90
596,5,71.200,71,72
597,5,74.600,74,75
598,34,82.676,75,92
599,15,77.133,75,79
600,4,110.750,107,118
601,4,75.250,73,77
602,8,92.625,89,95
603,38,87.895,80,100
604,12,88.667,85,93
605,10,112.600,108,117
606,8,81.750,80,84
607,24,106.375,95,118
608,11,104.182,103,106
609,16,112.688,105,119
610,16,90.875,86,97
611,5,74.400,73,77
612,25,103.400,88,115
613,6,85.500,82,88
614,16,79.438,75,83
615,12,102.917,96,108
616,34,89.912,78,97
617,18,78.111,75,80
618,38,83.711,76,95
619,5,115.000,110,119
620,17,108.118,100,117
621,6,115.667,110,119
622,31,97.871,92,102
623,25,79.720,75,87
624,38,83.289,72,93
625,9,77.333,75,79
626,18,109.778,103,114
627,13,113.615,106,119
628,6,88.000,86,90
629,4,82.250,81,84
630,17,83.588,74,93
631,8,85.000,82,90
632,5,81.200,79,84
633,34,77.676,72,81
634,4,114.500,106,122
635,22,96.818,79,116
