 ,Area,Mean,Min,Max
1,15,170.000,162,182
2,31,165.161,156,186
3,27,160.519,156,165
4,22,169.136,155,178
5,32,155.688,149,160
6,22,166.545,160,176
7,17,160.000,157,165
8,27,149.889,146,153
9,32,157.812,151,165
10,16,164.062,157,173
11,30,150.000,146,153
12,33,155.364,149,160
13,17,159.176,155,164
14,29,156.103,150,163
15,18,157.111,151,161
16,16,154.375,149,159
17,17,167.000,155,182
18,32,153.594,146,160
19,23,156.522,145,166
20,28,169.143,153,187
21,27,160.222,150,168
22,40,164.150,148,182
23,19,175.895,151,198
24,25,159.440,151,165
25,16,153.812,147,161
26,30,169.733,152,187
27,24,161.667,152,173
28,19,158.895,154,165
29,23,155.478,150,161
30,32,157.875,149,162
31,16,156.125,149,161
32,35,168.429,150,194
33,17,154.471,147,159
34,21,154.952,151,159
35,24,166.292,152,180
36,36,162.028,148,171
37,15,152.933,148,160
38,18,155.167,149,159
39,31,163.258,150,180
40,21,162.048,152,170
41,18,152.833,147,158
42,16,155.125,151,160
43,16,154.625,150,161
44,24,161.667,146,172
45,15,166.000,151,187
46,36,149.611,144,156
47,28,162.536,150,190
48,25,157.520,151,165
49,21,155.190,141,164
50,39,162.077,146,174
51,27,167.556,149,185
52,19,164.842,153,181
53,38,157.289,147,167
54,31,166.419,150,182
55,32,170.469,153,186
56,16,162.438,152,173
57,20,153.300,148,158
58,29,158.034,142,167
59,16,160.062,156,163
60,25,161.160,151,171
61,21,154.857,148,159
62,23,154.696,150,159
63,18,157.500,151,165
64,16,157.812,150,168
65,17,160.824,150,173
66,22,160.545,153,165
67,30,163.200,146,177
68,20,161.900,147,181
69,40,165.525,154,176
70,20,158.950,149,169
71,21,166.905,155,179
72,28,159.607,153,166
73,37,158.838,148,170
74,22,174.500,157,191
75,25,157.240,145,166
76,16,159.188,152,165
77,36,154.917,147,161
78,21,154.286,147,159
79,31,153.516,144,162
80,29,156.448,148,168
81,31,157.935,146,170
82,24,163.583,152,177
83,37,162.243,146,176
84,21,156.476,148,163
85,26,162.308,151,175
86,24,165.250,149,176
87,26,153.577,143,163
88,29,159.207,148,169
89,33,156.909,146,167
90,21,153.381,146,164
91,21,160.524,153,169
92,38,174.158,149,193
93,18,166.389,149,179
94,27,159.074,152,167
95,20,155.500,152,159
96,31,152.419,144,157
97,15,160.800,156,166
98,17,166.706,154,178
99,17,164.765,155,174
100,22,155.500,149,162
101,24,161.833,150,170
102,15,171.733,154,192
103,26,167.000,151,183
104,27,159.889,148,171
105,36,165.417,153,175
106,19,158.947,151,168
107,31,159.548,148,171
108,31,171.258,154,188
109,27,162.815,151,173
110,20,147.000,144,151
111,36,152.583,145,162
112,29,162.966,155,168
113,15,158.400,151,164
114,28,160.429,152,171
115,22,161.273,153,169
116,22,169.273,156,183
117,23,151.304,141,158
118,18,153.667,147,159
119,19,156.053,148,161
120,15,160.000,153,168
121,36,159.389,149,166
122,30,163.433,153,174
123,19,159.053,147,168
124,27,164.667,148,175
125,34,166.500,155,175
126,22,163.909,153,173
127,34,175.559,146,197
128,20,152.800,149,156
129,20,160.950,151,168
130,38,158.895,148,171
131,27,160.704,154,167
132,22,157.591,152,164
133,22,157.091,143,171
134,38,154.974,147,167
135,33,165.212,149,176
136,21,156.476,149,163
137,18,156.833,149,161
138,23,158.957,152,166
139,38,168.368,148,185
140,25,164.400,146,176
141,29,154.172,142,160
142,28,154.500,147,162
143,21,160.429,156,163
144,25,163.160,148,171
145,26,165.846,153,174
146,22,167.864,154,179
147,16,156.250,151,161
148,17,163.941,150,175
149,16,155.000,151,159
150,23,159.565,152,166
151,16,174.438,152,193
152,26,175.577,150,194
153,19,168.053,153,179
154,38,160.053,145,168
155,31,158.774,150,166
156,32,164.125,152,178
157,31,154.903,146,160
158,15,161.200,153,168
159,16,154.000,149,158
160,17,165.882,152,187
161,22,162.682,146,175
162,24,158.000,149,167
163,38,164.868,152,177
164,19,155.316,149,160
165,33,155.697,144,169
166,15,155.400,149,162
167,17,155.235,148,162
168,19,166.211,154,180
169,37,159.757,150,169
170,39,170.231,164,175
171,29,162.310,146,175
172,17,156.765,145,168
173,36,151.806,144,160
174,20,155.100,150,159
175,31,163.355,150,172
176,28,156.679,149,163
177,36,157.806,149,169
178,22,159.500,148,167
179,20,158.200,146,169
180,29,163.931,148,181
181,24,164.667,150,178
182,33,168.848,152,184
183,27,166.481,147,181
184,17,157.765,153,165
185,18,161.389,150,170
186,24,171.625,154,194
187,39,155.641,147,164
188,30,162.100,154,177
189,31,177.323,157,191
190,34,154.235,147,163
191,24,154.167,147,163
192,15,153.800,150,157
193,27,156.963,146,165
194,21,170.143,153,188
195,24,167.750,153,179
196,28,154.607,146,160
197,25,158.160,150,163
198,24,155.042,146,165
199,24,163.833,148,178
200,32,160.281,149,168
201,24,165.083,152,177
202,25,166.720,152,186
203,30,155.700,148,162
204,26,162.769,154,173
205,24,160.083,150,169
206,16,162.125,154,170
207,30,161.000,148,194
208,39,158.897,151,171
209,29,160.448,148,171
210,15,163.800,158,171
211,25,169.000,155,190
212,30,175.933,156,191
213,39,170.513,147,192
214,22,162.455,150,172
215,30,166.700,147,186
216,21,159.048,151,166
217,16,163.062,150,177
218,15,157.600,151,163
219,21,154.286,151,159
220,39,169.128,153,182
221,27,156.963,150,163
