 ,Area,Mean,Min,Max
1,7,188.286,186,191
2,33,112.606,95,125
3,15,95.067,87,102
4,35,107.657,88,131
5,13,87.615,81,90
6,20,169.200,162,175
7,25,104.160,90,114
8,9,99.222,95,105
9,19,123.158,114,131
10,27,97.481,86,108
11,11,91.000,90,92
12,40,95.300,87,104
13,12,97.667,88,103
14,5,99.200,96,104
15,28,109.643,92,125
16,4,95.500,95,96
17,16,105.188,90,115
18,4,155.750,154,158
19,20,94.300,90,101
20,12,96.583,90,102
21,5,92.400,87,96
22,25,93.840,82,107
23,20,94.450,90,100
24,38,101.000,90,110
25,8,117.750,104,124
26,5,94.600,88,100
27,5,174.800,173,177
28,18,95.722,90,102
29,39,101.487,90,113
30,11,101.909,79,129
31,13,90.385,87,93
32,23,97.000,81,113
33,20,109.000,103,115
34,38,103.105,73,122
35,9,150.556,146,153
36,29,95.828,87,104
37,18,82.000,76,87
38,6,166.667,165,170
39,12,100.250,95,105
40,6,92.500,87,97
41,5,80.400,79,82
42,39,132.692,101,151
43,9,103.000,96,112
44,7,106.286,101,113
45,6,76.667,75,78
46,27,94.148,90,100
47,21,93.571,80,106
48,7,88.571,88,90
49,21,106.143,97,120
50,16,91.500,89,95
51,30,87.767,81,96
52,25,93.480,89,98
53,10,103.400,100,108
54,24,110.083,98,124
55,7,86.000,83,89
56,33,127.697,83,159
57,31,115.935,95,142
58,25,103.080,87,116
59,19,89.842,85,94
60,7,104.714,96,112
61,24,94.125,87,101
62,9,87.222,83,89
63,16,101.000,95,106
64,4,80.000,77,84
65,24,141.083,100,177
66,10,102.400,95,110
67,16,94.750,89,99
68,23,90.261,87,97
69,11,122.273,103,143
70,4,115.500,106,124
71,18,91.000,88,95
72,32,97.656,90,104
73,15,93.267,88,100
74,9,89.222,85,93
75,8,106.500,104,108
76,12,109.750,103,120
77,7,95.000,89,101
78,5,113.200,107,117
79,17,98.471,91,103
80,27,101.778,85,114
81,6,106.833,97,116
82,4,91.750,86,99
83,13,85.000,82,89
84,29,94.310,82,106
85,13,144.462,69,164
86,4,85.250,84,87
87,5,167.200,160,171
88,39,119.769,95,152
89,26,94.385,86,101
90,12,103.167,96,111
91,22,99.000,88,109
92,12,107.917,85,135
93,11,112.727,97,130
94,5,102.600,91,117
95,11,99.182,90,119
96,4,108.250,107,110
97,15,151.867,118,186
98,14,77.000,75,78
99,23,95.522,88,103
100,17,96.765,88,106
101,28,94.214,86,100
102,23,106.174,95,118
103,37,95.432,82,104
104,24,101.167,95,109
105,20,86.400,85,89
106,24,93.000,88,98
107,27,92.815,82,100
108,4,76.000,75,77
109,31,99.548,86,111
110,29,97.931,91,104
111,9,90.333,87,95
112,20,105.200,99,111
113,14,79.000,76,82
114,35,99.200,88,120
115,33,89.091,85,93
116,18,91.056,84,98
117,4,78.500,78,79
118,5,111.800,108,118
119,6,99.000,89,106
120,5,99.000,95,104
121,17,135.000,89,167
122,24,94.167,86,107
123,4,88.250,87,89
124,38,104.868,95,119
125,17,110.294,101,122
126,14,90.000,85,95
127,34,98.382,79,112
128,33,110.970,102,122
129,28,94.429,88,103
130,10,92.000,90,99
131,4,81.250,79,84
132,13,90.077,85,95
133,28,106.464,94,116
134,6,80.833,79,82
135,4,92.000,90,96
136,6,94.167,92,101
137,11,82.818,78,86
138,39,96.051,86,106
139,11,97.000,95,100
140,26,106.615,91,122
141,6,80.500,80,81
142,21,94.048,85,102
143,5,92.400,91,95
144,7,78.286,76,82
145,6,96.667,90,101
146,18,117.556,105,126
147,10,98.500,91,107
148,8,94.375,85,101
149,7,106.000,104,109
150,12,109.000,101,117
151,9,213.778,168,236
152,16,94.875,90,100
153,6,90.167,85,94
154,28,93.179,87,99
155,9,97.778,95,102
156,10,90.100,87,94
157,28,114.929,108,123
158,29,100.793,87,120
159,7,82.000,76,86
160,26,91.538,85,97
161,15,88.733,85,91
162,35,94.000,81,107
163,4,82.000,81,84
164,7,116.714,105,132
165,18,91.889,87,96
166,5,86.400,86,87
167,8,98.125,91,109
168,9,92.333,88,97
169,8,131.750,111,153
170,11,80.091,74,83
171,7,92.857,91,95
172,30,167.800,88,210
173,38,114.237,100,132
174,7,103.429,99,108
175,22,95.773,82,105
176,12,119.083,111,125
177,7,113.286,109,116
178,34,110.794,89,133
179,36,143.333,87,199
180,33,188.818,115,219
181,12,86.083,82,92
182,15,85.867,81,89
183,11,85.273,81,90
184,4,85.750,85,87
185,4,81.750,81,83
186,9,98.667,87,107
187,20,133.200,104,174
188,4,125.500,121,128
189,12,92.417,86,98
190,40,104.425,89,119
191,18,85.000,78,91
192,5,86.800,85,89
193,40,131.750,100,161
194,31,98.129,87,105
195,24,136.958,104,166
196,8,89.375,88,91
197,36,87.028,75,95
198,33,95.182,78,113
199,11,89.273,81,96
200,14,93.500,87,101
201,10,89.800,86,91
202,12,108.167,101,117
203,4,96.500,95,98
204,30,105.267,95,115
205,4,89.500,88,92
206,19,93.053,85,102
207,5,99.600,95,107
208,11,96.455,88,103
209,33,111.061,95,122
210,19,94.316,88,101
211,5,87.200,86,88
212,26,101.538,95,109
213,12,96.750,95,99
214,19,84.053,81,87
215,7,101.714,99,105
216,4,107.500,107,109
217,5,82.800,82,84
218,16,82.000,74,86
219,6,105.500,103,108
220,12,100.333,95,114
221,4,96.250,95,98
222,24,114.583,99,133
223,6,87.167,86,88
224,13,101.000,95,104
225,6,103.333,101,108
226,5,81.800,81,82
227,24,110.042,96,132
228,21,94.571,87,102
229,7,87.286,85,89
230,25,103.560,95,115
231,29,90.138,75,101
232,25,147.680,81,215
233,31,136.742,98,163
234,5,128.600,119,137
235,6,100.833,96,105
236,9,83.444,82,85
237,24,102.083,92,113
238,5,102.200,99,108
239,10,87.900,85,91
240,19,95.684,86,103
241,19,91.211,87,96
242,22,81.409,78,86
243,7,100.286,97,103
244,24,85.292,81,90
245,4,96.500,95,97
246,26,104.385,94,110
247,5,81.200,80,83
248,9,110.556,107,118
249,15,86.000,82,90
250,30,90.233,81,104
251,29,90.345,78,99
252,12,139.833,125,153
253,24,100.958,80,113
254,28,85.250,78,92
255,17,135.765,126,144
256,13,120.923,104,154
257,32,86.219,73,93
258,8,95.625,91,102
259,30,110.667,90,130
260,23,97.478,94,101
261,35,94.429,90,100
262,12,96.333,95,98
263,38,154.447,104,181
264,28,99.893,94,104
265,24,84.417,81,89
266,14,88.714,81,94
267,25,104.920,92,118
268,5,81.600,80,83
269,37,86.027,80,95
270,29,94.448,88,101
271,9,98.111,95,106
272,6,88.667,87,91
273,34,161.118,100,209
274,31,98.774,94,102
275,29,152.897,143,169
276,6,80.000,79,81
277,39,123.564,99,149
278,10,90.800,86,94
279,14,86.429,82,91
280,13,85.923,81,89
281,20,96.400,86,108
282,6,86.833,85,89
283,22,117.818,88,142
284,12,86.833,81,90
285,31,90.677,85,97
286,5,83.400,80,87
287,21,91.571,83,99
288,31,88.452,80,96
289,7,93.286,91,97
290,6,93.333,86,97
291,29,95.517,81,111
292,4,91.250,88,94
293,35,95.343,75,111
294,6,137.667,134,142
295,21,91.286,86,97
296,31,92.871,85,100
297,5,80.200,79,82
298,19,86.053,81,92
299,22,81.955,78,86
300,26,133.423,87,195
301,31,122.774,93,148
302,6,96.333,91,100
303,32,164.812,149,178
304,12,89.500,86,97
305,31,93.032,81,100
306,14,89.071,83,92
307,25,90.840,83,97
308,25,93.120,79,102
309,28,163.214,147,178
310,5,110.200,103,119
311,31,95.677,85,107
312,15,89.800,84,97
313,11,110.182,100,121
314,5,81.200,81,82
315,25,99.440,87,110
316,15,88.467,83,92
317,19,142.263,106,168
318,5,109.000,104,114
319,27,120.926,90,141
320,4,99.750,96,102
